[2023-05-09 20:42:43,751] | [INFO ] RewindInputStream      : Obtendo novas URLs para download.
[2023-05-09 20:42:43,751] | [DEBUG] RewindInputStream      : Fila de download vazia. Aguardando novas URLs...
[2023-05-09 20:42:52,697] | [DEBUG] URLDownloadScheduler   : Download agendado para 2023-05-09 20:42:52.697362, URL: https://www.olx.com.br...itarios/vw-volkswagen/gol.
[2023-05-09 20:42:52,697] | [INFO ] FrontToBackQueueRouter : Fila do Front vazia. Aguardando...
[2023-05-09 20:42:52,697] | [DEBUG] RewindInputStream      : Pacote obtido: 1 URLs. Tempo de espera: 8 segundos.
[2023-05-09 20:42:52,698] | [INFO ] RewindInputStream      : Baixando 1 URLs.
[2023-05-09 20:42:53,671] | [INFO ] DBPostgresConnection   : Salvando os documentos HTML no banco de dados...
[2023-05-09 20:42:53,681] | [INFO ] LinkExtractor          : 55 links extraídos da página https://www.olx.com.br...itarios/vw-volkswagen/gol.
[2023-05-09 20:42:53,682] | [INFO ] LinkExtractor          : Encaminhando links para a fila do Front.
[2023-05-09 20:42:53,682] | [INFO ] LinkExtractor          : Encaminhamento concluído.
[2023-05-09 20:42:53,682] | [DEBUG] LinkExtractor          : Fila de extração vazia. Aguardando...
[2023-05-09 20:42:53,688] | [INFO ] DBPostgresConnection   : 1 documentos HTML salvos no banco de dados.
[2023-05-09 20:42:53,688] | [INFO ] RewindInputStream      : 1 documentos baixados, 0 falharam.
[2023-05-09 20:42:53,688] | [INFO ] RewindInputStream      : Obtendo novas URLs para download.
[2023-05-09 20:42:53,688] | [DEBUG] RewindInputStream      : Fila de download vazia. Aguardando novas URLs...
